COURBE ## PERFECT ## CALCUL
53.235325 ## 101.04455 ## 0.03665614
53.460266 ## 101.24229 ## 0.03463137
53.75872 ## 101.49384 ## 0.03348136
54.129475 ## 101.96568 ## 0.031508565
54.571056 ## 102.4207 ## 0.031107545
55.081757 ## 103.16007 ## 0.02922678
55.65968 ## 104.048065 ## 0.008972168
56.302753 ## 104.80935 ## 0.009814739
57.00877 ## 105.9481 ## 0.008309841
57.77543 ## 107.22407 ## 0.0067642927
57.697487 ## 108.63241 ## 0.0051933527
58.59181 ## 110.16805 ## 0.0036108494
60.033325 ## 112.25863 ## 0.0018339157
61.05735 ## 114.061386 ## 0.00358361
62.681736 ## 116.46888 ## 0.0018447042
63.82006 ## 119.03781 ## 0.007745981
65.60488 ## 121.75796 ## 0.005504191
66.8431 ## 124.61942 ## 0.020024478
68.0147 ## 127.61269 ## 0.030064821
70.724815 ## 131.3659 ## 0.031425893
72.835434 ## 135.28119 ## 0.03263408
73.552704 ## 140.0357 ## 0.03846723
73.0 ## 142.83557 ## 0.039106727
72.47068 ## 140.0357 ## 0.010836124
70.60453 ## 135.28119 ## 0.034214377
68.8186 ## 131.3659 ## 0.06667459
67.11929 ## 127.61269 ## 0.06829929
65.51336 ## 124.61942 ## 0.06467378
63.134777 ## 121.75796 ## 0.038794637
62.177166 ## 119.03781 ## 0.03481424
60.835846 ## 116.46888 ## 0.03965783
60.00833 ## 114.061386 ## 0.03554535
59.236813 ## 112.25863 ## 0.035591006
58.5235 ## 110.16805 ## 0.0316298
57.567352 ## 108.63241 ## 0.031485558
57.00877 ## 107.22407 ## 0.031166434
56.515484 ## 105.9481 ## 0.007312417
56.089214 ## 104.80935 ## 0.0067583323
54.74486 ## 104.048065 ## 0.003793478
54.451813 ## 103.16007 ## 0.0033160448
54.230988 ## 102.4207 ## 0.006470084
54.08327 ## 101.96568 ## 0.0037785769
54.00926 ## 101.49384 ## 0.0026347637
54.00926 ## 101.24229 ## 7.351637E-4
54.08327 ## 101.04455 ## 2.4998188E-4
54.230988 ## 101.04455 ## 0.0017251372
54.451813 ## 101.24229 ## 0.0033986568
54.74486 ## 101.49384 ## 0.0055933595
54.129475 ## 101.96568 ## 0.026967764
54.571056 ## 102.4207 ## 0.027596116
55.081757 ## 103.16007 ## 0.029453516
55.65968 ## 104.048065 ## 0.03467238
56.302753 ## 104.80935 ## 0.034564197
57.00877 ## 105.9481 ## 0.03655678
57.77543 ## 107.22407 ## 0.03844714
58.60034 ## 108.63241 ## 0.04022622
59.94164 ## 110.16805 ## 0.041888118
60.90156 ## 112.25863 ## 0.04711771
62.433964 ## 114.061386 ## 0.04871005
62.968246 ## 116.46888 ## 0.0614053
63.82006 ## 119.03781 ## 0.074175954
65.60488 ## 121.75796 ## 0.0712015
67.47592 ## 124.61942 ## 0.07612848
69.426216 ## 127.61269 ## 0.07242578
70.76723 ## 131.3659 ## 0.08167571
71.42129 ## 135.28119 ## 0.082018614
72.138756 ## 140.0357 ## 0.09562373
72.249565 ## 142.83557 ## 0.09666526
70.292244 ## 140.0357 ## 0.050007045
68.41052 ## 135.28119 ## 0.0065339804
65.21503 ## 131.3659 ## 0.023927689
63.51378 ## 127.61269 ## 0.03524828
62.433964 ## 124.61942 ## 0.040279984
60.90156 ## 121.75796 ## 0.035369635
59.94164 ## 119.03781 ## 0.030444145
58.60034 ## 116.46888 ## 0.025559545
57.77543 ## 114.061386 ## 0.029384732
57.00877 ## 112.25863 ## 0.0051687956
55.027267 ## 110.16805 ## 1.01566315E-4
54.405884 ## 108.63241 ## 0.0011686683
53.851646 ## 107.22407 ## 0.0023764968
53.366657 ## 105.9481 ## 0.0037261248
53.15073 ## 104.80935 ## 0.0052171946
52.773098 ## 104.048065 ## 0.009096324
52.46904 ## 103.16007 ## 0.0105186105
52.23983 ## 102.4207 ## 0.012048364
52.086468 ## 101.96568 ## 0.014958084
52.009613 ## 101.49384 ## 0.035228193
52.024033 ## 101.24229 ## 0.035300434
52.03845 ## 101.04455 ## 0.037231624
51.156624 ## 101.04455 ## 0.039530277
51.351727 ## 101.24229 ## 0.042172194
51.62364 ## 101.49384 ## 0.043782175
51.78803 ## 101.96568 ## 0.045929074
52.17279 ## 102.4207 ## 0.04639989
52.63079 ## 103.16007 ## 0.050811112
53.160137 ## 104.048065 ## 0.071362436
53.75872 ## 104.80935 ## 0.07070869
54.42426 ## 105.9481 ## 0.071989715
55.154327 ## 107.22407 ## 0.07822895
55.946404 ## 108.63241 ## 0.07972896
56.364883 ## 110.16805 ## 0.08101809
56.82429 ## 112.25863 ## 0.08564216
58.30952 ## 114.061386 ## 0.086699605
59.36329 ## 116.46888 ## 0.091428936
61.03278 ## 119.03781 ## 0.0884791
62.201286 ## 121.75796 ## 0.093039155
64.03124 ## 124.61942 ## 0.10583758
65.29931 ## 127.61269 ## 0.11472654
66.52819 ## 131.3659 ## 0.11417496
68.593 ## 135.28119 ## 0.12230873
69.29646 ## 140.0357 ## 0.12571156
69.354164 ## 142.83557 ## 0.11585009
68.117546 ## 140.0357 ## 0.069592476
66.8431 ## 135.28119 ## 0.0040642023
65.0 ## 131.3659 ## 0.07775378
63.245552 ## 127.61269 ## 0.120946765
61.587337 ## 124.61942 ## 0.09617078
60.53924 ## 121.75796 ## 0.09271777
58.18075 ## 119.03781 ## 0.08917987
56.797886 ## 116.46888 ## 0.085585356
55.946404 ## 114.061386 ## 0.09061849
55.154327 ## 112.25863 ## 0.08237934
54.42426 ## 110.16805 ## 0.08649862
53.75872 ## 108.63241 ## 0.062387466
53.160137 ## 107.22407 ## 0.054694176
52.63079 ## 105.9481 ## 0.05412829
52.17279 ## 104.80935 ## 0.053299427
51.78803 ## 104.048065 ## 0.049813032
50.48762 ## 103.16007 ## 0.048787475
50.358715 ## 102.4207 ## 0.04749596
50.159744 ## 101.96568 ## 0.07882464
50.039986 ## 101.49384 ## 0.1404773
50.0 ## 101.24229 ## 0.040819883
50.039986 ## 101.04455 ## 0.020177484
50.159744 ## 101.04455 ## 0.01800847
50.358715 ## 101.24229 ## 0.015478253
50.48762 ## 101.49384 ## 0.014402151
49.819675 ## 101.96568 ## 0.0125705
50.219517 ## 102.4207 ## 0.012331486
50.695168 ## 103.16007 ## 0.010686874
50.96077 ## 104.048065 ## 0.008972168
51.546097 ## 104.80935 ## 0.009814739
52.201534 ## 105.9481 ## 0.008309841
52.924473 ## 107.22407 ## 0.0067642927
53.712196 ## 108.63241 ## 0.0051933527
54.56189 ## 110.16805 ## 0.0036108494
55.946404 ## 112.25863 ## 0.0018339157
56.938564 ## 114.061386 ## 0.018935382
57.45433 ## 116.46888 ## 0.024322271
58.249462 ## 119.03781 ## 0.021891952
60.0 ## 121.75796 ## 0.027431965
61.220913 ## 124.61942 ## 0.024483442
63.126858 ## 127.61269 ## 0.030064821
65.11528 ## 131.3659 ## 0.031425893
67.17886 ## 135.28119 ## 0.041706443
70.035706 ## 140.0357 ## 0.05801624
73.0 ## 142.83557 ## 0.039682567
73.756355 ## 140.0357 ## 0.008749366
70.434364 ## 135.28119 ## 0.05448544
68.60029 ## 131.3659 ## 0.07775378
66.85058 ## 127.61269 ## 0.10140705
65.192024 ## 124.61942 ## 0.09881914
64.14047 ## 121.75796 ## 0.09619522
62.649822 ## 119.03781 ## 0.093557954
61.7171 ## 116.46888 ## 0.090936184
59.5063 ## 114.061386 ## 0.07351804
58.30952 ## 112.25863 ## 0.074213505
57.58472 ## 110.16805 ## 0.07098472
56.920998 ## 108.63241 ## 0.071350455
56.32051 ## 107.22407 ## 0.07146692
55.7853 ## 105.9481 ## 0.07131338
55.31727 ## 104.80935 ## 0.06525993
56.718605 ## 104.048065 ## 0.0626421
59.682495 ## 103.16007 ## 0.06251526
54.33231 ## 102.4207 ## 0.062113643
53.15073 ## 101.96568 ## 0.041282773
53.037724 ## 101.49384 ## 0.040523767
53.009434 ## 101.24229 ## 0.038878918
53.08484 ## 101.04455 ## 0.03807676
