COURBE ## PERFECT ## CALCUL
32.202484 ## 101.04455 ## 0.13971448
32.649654 ## 101.04455 ## 0.103583336
32.24903 ## 101.24229 ## 0.10095179
32.75668 ## 101.49384 ## 0.03563857
32.449963 ## 101.96568 ## 0.03334999
33.01515 ## 102.4207 ## 0.03223908
33.42155 ## 103.16007 ## 0.0021203756
34.058773 ## 104.048065 ## 0.005133271
33.970577 ## 104.80935 ## 0.03642744
33.24154 ## 105.9481 ## 0.039280236
34.655445 ## 107.22407 ## 0.07162273
35.383614 ## 108.63241 ## 0.074264824
36.23534 ## 110.16805 ## 0.0770393
36.40055 ## 112.25863 ## 0.11037779
35.805027 ## 114.061386 ## 0.1387071
37.44329 ## 116.46888 ## 0.143924
38.587563 ## 119.03781 ## 0.17333639
38.948685 ## 121.75796 ## 0.17801863
40.706264 ## 124.61942 ## 0.21917528
41.14608 ## 127.61269 ## 0.20860994
41.62932 ## 131.3659 ## 0.21637708
41.231056 ## 135.28119 ## 0.24292511
40.496914 ## 140.0357 ## 0.28645658
40.804413 ## 142.83557 ## 0.26950085
40.5216 ## 140.0357 ## 0.23852545
39.293766 ## 135.28119 ## 0.21101844
38.832977 ## 131.3659 ## 0.16893601
38.63936 ## 127.61269 ## 0.14141345
36.345562 ## 124.61942 ## 0.11608082
35.22783 ## 121.75796 ## 0.05149448
35.128338 ## 119.03781 ## 0.022033572
34.0147 ## 116.46888 ## 0.023427725
34.0 ## 114.061386 ## 0.08039796
32.06244 ## 112.25863 ## 0.11010885
32.140316 ## 110.16805 ## 0.14517868
32.24903 ## 108.63241 ## 0.21651828
31.400637 ## 107.22407 ## 0.24907136
31.575306 ## 105.9481 ## 0.27204227
30.805843 ## 104.80935 ## 0.3362348
31.04835 ## 104.048065 ## 0.33750284
30.364452 ## 103.16007 ## 0.37202692
30.675724 ## 102.4207 ## 0.3685217
31.016125 ## 101.96568 ## 0.33727384
30.463093 ## 101.49384 ## 0.30208194
29.966648 ## 101.24229 ## 0.3016975
30.413813 ## 101.04455 ## 0.23459005
