COURBE ## PERFECT ## CALCUL
30.016663 ## 101.04455 ## 0.20087767
30.528675 ## 101.24229 ## 0.16616333
29.681644 ## 101.49384 ## 0.16461754
30.805843 ## 101.96568 ## 0.12941861
31.400637 ## 102.4207 ## 0.09579015
31.241 ## 103.16007 ## 0.09210563
30.479502 ## 104.048065 ## 0.087816
31.827662 ## 104.80935 ## 0.062101364
32.526913 ## 105.9481 ## 0.02858293
32.55764 ## 107.22407 ## 0.02504325
33.30165 ## 108.63241 ## 0.0073284507
33.42155 ## 110.16805 ## 0.038507402
33.600594 ## 112.25863 ## 0.045182288
35.22783 ## 114.061386 ## 0.048479855
35.510563 ## 116.46888 ## 0.080990374
36.359318 ## 119.03781 ## 0.0878427
37.589893 ## 121.75796 ## 0.11802989
38.013157 ## 124.61942 ## 0.14635009
38.483765 ## 127.61269 ## 0.18762326
40.311287 ## 131.3659 ## 0.18139416
40.853397 ## 135.28119 ## 0.2241534
41.109608 ## 140.0357 ## 0.22038835
42.72002 ## 142.83557 ## 0.23705
42.44997 ## 140.0357 ## 0.20541787
43.174065 ## 135.28119 ## 0.1767782
42.755116 ## 131.3659 ## 0.11486596
41.59327 ## 127.61269 ## 0.085219145
40.311287 ## 124.61942 ## 0.079267204
40.1995 ## 121.75796 ## 0.0140193105
38.052597 ## 119.03781 ## 0.039253354
37.01351 ## 116.46888 ## 0.047529697
36.013885 ## 114.061386 ## 0.094451904
36.05551 ## 112.25863 ## 0.14936328
35.128338 ## 110.16805 ## 0.18470514
34.234486 ## 108.63241 ## 0.20485878
34.36568 ## 107.22407 ## 0.2095288
34.525352 ## 105.9481 ## 0.21349049
33.955853 ## 104.80935 ## 0.21666443
33.24154 ## 104.048065 ## 0.2076143
33.526108 ## 103.16007 ## 0.21010685
32.89377 ## 102.4207 ## 0.17388272
32.31099 ## 101.96568 ## 0.14170742
32.695564 ## 101.49384 ## 0.13788271
33.105892 ## 101.24229 ## 0.10522926
32.649654 ## 101.04455 ## 0.10501313
33.12099 ## 101.04455 ## 0.07115352
32.75668 ## 101.24229 ## 0.05287862
32.449963 ## 101.49384 ## 0.03412628
31.622776 ## 101.96568 ## 0.030846119
32.80244 ## 102.4207 ## 0.0031048656
32.01562 ## 103.16007 ## 0.03819412
33.30165 ## 104.048065 ## 0.04172933
33.24154 ## 104.80935 ## 0.07370114
33.941124 ## 105.9481 ## 0.07689047
33.970577 ## 107.22407 ## 0.080221295
35.468296 ## 108.63241 ## 0.11243534
35.608986 ## 110.16805 ## 0.11524749
35.0 ## 112.25863 ## 0.14858538
36.619667 ## 114.061386 ## 0.1507808
37.735924 ## 116.46888 ## 0.18178052
37.215588 ## 119.03781 ## 0.18674892
38.078865 ## 121.75796 ## 0.21501118
39.357338 ## 124.61942 ## 0.21917528
39.812057 ## 127.61269 ## 0.2589984
39.92493 ## 131.3659 ## 0.25133085
39.56008 ## 135.28119 ## 0.29223603
39.217342 ## 140.0357 ## 0.30159461
38.8973 ## 142.83557 ## 0.30044347
38.327538 ## 140.0357 ## 0.28799438
38.078865 ## 135.28119 ## 0.24603426
36.67424 ## 131.3659 ## 0.20415372
35.510563 ## 127.61269 ## 0.19743097
35.22783 ## 124.61942 ## 0.15777612
34.132095 ## 121.75796 ## 0.11107063
34.058773 ## 119.03781 ## 0.06810033
33.01515 ## 116.46888 ## 0.03926325
32.515385 ## 114.061386 ## 0.0055493116
32.01562 ## 112.25863 ## 0.084067345
32.06244 ## 110.16805 ## 0.118183374
31.144823 ## 108.63241 ## 0.14914799
30.265491 ## 107.22407 ## 0.19240475
30.413813 ## 105.9481 ## 0.25308383
29.614185 ## 104.80935 ## 0.2858628
29.832869 ## 104.048065 ## 0.27674413
30.083218 ## 103.16007 ## 0.31028008
29.410883 ## 102.4207 ## 0.31234324
29.732138 ## 101.96568 ## 0.30559242
29.15476 ## 101.49384 ## 0.3064816
29.546574 ## 101.24229 ## 0.26948142
29.068884 ## 101.04455 ## 0.26906598
29.529646 ## 101.04455 ## 0.20087767
29.15476 ## 101.24229 ## 0.1980946
29.681644 ## 101.49384 ## 0.16327286
28.84441 ## 101.96568 ## 0.15922832
30.0 ## 102.4207 ## 0.12758541
29.206163 ## 103.16007 ## 0.09210563
29.832869 ## 104.048065 ## 0.087816
30.479502 ## 104.80935 ## 0.05517006
30.413813 ## 105.9481 ## 0.020640135
31.112698 ## 107.22407 ## 0.01634276
31.890438 ## 108.63241 ## 0.017008841
31.241 ## 110.16805 ## 0.02116543
32.01562 ## 112.25863 ## 0.018317997
33.01515 ## 114.061386 ## 0.06027335
33.83785 ## 116.46888 ## 0.09357715
34.132095 ## 119.03781 ## 0.1008234
34.98571 ## 121.75796 ## 0.13169825
37.12142 ## 124.61942 ## 0.1382814
37.576588 ## 127.61269 ## 0.16637313
38.078865 ## 131.3659 ## 0.17608589
39.0 ## 135.28119 ## 0.19008303
40.496914 ## 140.0357 ## 0.20266366
41.109608 ## 142.83557 ## 0.2203173
40.5216 ## 140.0357 ## 0.22179562
41.231056 ## 135.28119 ## 0.16018152
41.0 ## 131.3659 ## 0.1169793
40.60788 ## 127.61269 ## 0.069128335
40.4475 ## 124.61942 ## 0.042423308
39.20459 ## 121.75796 ## 0.035953462
39.115215 ## 119.03781 ## 0.03119421
37.01351 ## 116.46888 ## 0.08614755
37.0 ## 114.061386 ## 0.119452
36.013885 ## 112.25863 ## 0.18875635
36.05551 ## 110.16805 ## 0.22440231
35.22783 ## 108.63241 ## 0.2562939
34.36568 ## 107.22407 ## 0.26061797
34.525352 ## 105.9481 ## 0.25308383
33.734257 ## 104.80935 ## 0.27631676
32.984844 ## 104.048065 ## 0.27674413
33.24154 ## 103.16007 ## 0.24871504
32.572994 ## 102.4207 ## 0.24298048
32.89377 ## 101.96568 ## 0.24230206
33.61547 ## 101.49384 ## 0.17398632
32.695564 ## 101.24229 ## 0.14071012
