COURBE ## PERFECT ## CALCUL
105.22357 ## 0.6813189 ## 0.6625065
105.90562 ## 0.6152083 ## 0.65270364
106.733315 ## 0.53800815 ## 0.6433798
107.44766 ## 0.4526268 ## 0.6345091
108.52189 ## 0.36256063 ## 0.6260678
109.73149 ## 0.27190834 ## 0.618034
111.07205 ## 0.18540256 ## 0.61038727
112.92475 ## 0.10844518 ## 0.603109
114.54257 ## 0.047159307 ## 0.59618163
116.275536 ## 0.0063644503 ## 0.5895892
118.595955 ## 0.002489747 ## 0.5833167
121.07848 ## 0.04679144 ## 0.57735026
123.71338 ## 0.15487121 ## 0.571677
126.491104 ## 0.34193155 ## 0.566285
130.0 ## 0.65836436 ## 0.5611631
133.6862 ## 1.1136353 ## 0.556301
137.53545 ## 1.7354208 ## 0.55168897
141.53445 ## 2.5553992 ## 0.54731816
146.37282 ## 3.7027676 ## 0.54318017
147.787 ## 3.9834855 ## 0.53926736
142.94754 ## 2.9293995 ## 0.53557247
138.94603 ## 1.9659325 ## 0.5320889
135.09256 ## 1.2872615 ## 0.5288103
131.40015 ## 0.78375036 ## 0.5257311
127.88276 ## 0.42708635 ## 0.52284586
125.09596 ## 0.20817687 ## 0.5201497
122.44999 ## 0.065953374 ## 0.5176381
119.954155 ## 0.010408368 ## 0.51530683
117.61803 ## 0.0019413363 ## 0.51315206
115.45129 ## 0.036657132 ## 0.51117027
113.84639 ## 0.09466566 ## 0.50935835
112.36102 ## 0.1710039 ## 0.5077133
111.0 ## 0.27126706 ## 0.50623256
109.76794 ## 0.36631402 ## 0.5049138
108.66922 ## 0.46195343 ## 0.5037549
107.70794 ## 0.553863 ## 0.50275415
106.887794 ## 0.62750447 ## 0.5019099
106.21205 ## 0.7028484 ## 0.50122094
105.68349 ## 0.7653481 ## 0.50068617
105.38501 ## 0.81291217 ## 0.50030476
105.11898 ## 0.84020615 ## 0.5000762
