COURBE ## PERFECT ## CALCUL
88.20431 ## 101.04455 ## 0.004781246
88.45903 ## 101.24229 ## 0.0028187037
88.68484 ## 101.49384 ## 0.002155304
89.106674 ## 101.96568 ## 0.0016100407
88.84256 ## 102.4207 ## 0.012676239
89.498604 ## 103.16007 ## 0.014761388
90.24966 ## 104.048065 ## 0.028184652
91.394745 ## 104.80935 ## 0.027980924
92.358 ## 105.9481 ## 0.027145386
93.77633 ## 107.22407 ## 0.02913487
94.93682 ## 108.63241 ## 0.031254113
96.60745 ## 110.16805 ## 0.033477962
97.49359 ## 112.25863 ## 0.03531152
98.9798 ## 114.061386 ## 0.04695916
101.0198 ## 116.46888 ## 0.048367262
103.73042 ## 119.03781 ## 0.041096568
106.01887 ## 121.75796 ## 0.042696953
109.01835 ## 124.61942 ## 0.044202566
112.1606 ## 127.61269 ## 0.05311978
115.43397 ## 131.3659 ## 0.058675766
118.13975 ## 135.28119 ## 0.07093924
120.91733 ## 140.0357 ## 0.07502353
121.65525 ## 142.83557 ## 0.059472024
118.258194 ## 140.0357 ## 0.01097405
113.56936 ## 135.28119 ## 0.049539328
109.80892 ## 131.3659 ## 0.074795604
108.226616 ## 127.61269 ## 0.07011831
105.9481 ## 124.61942 ## 0.0661788
103.24728 ## 121.75796 ## 0.062239766
100.344406 ## 119.03781 ## 0.06385398
98.4124 ## 116.46888 ## 0.04590106
96.60745 ## 114.061386 ## 0.04693091
94.02127 ## 112.25863 ## 0.0436157
92.47703 ## 110.16805 ## 0.04426515
91.416626 ## 108.63241 ## 0.04540646
90.13878 ## 107.22407 ## 0.042081237
89.28606 ## 105.9481 ## 0.04274702
88.52683 ## 104.80935 ## 0.039550185
86.88498 ## 104.048065 ## 0.023371696
86.145226 ## 103.16007 ## 0.023591042
85.70881 ## 102.4207 ## 0.023423076
86.46965 ## 101.96568 ## 0.02152276
86.209045 ## 101.49384 ## 0.020924926
86.05231 ## 101.24229 ## 0.019273281
86.05231 ## 101.04455 ## 0.01752317
86.209045 ## 101.04455 ## 0.016450644
86.28442 ## 101.24229 ## 0.0022770166
85.70881 ## 101.49384 ## 8.05974E-4
86.145226 ## 101.96568 ## 0.0016100407
85.70297 ## 102.4207 ## 0.0026468635
86.34813 ## 103.16007 ## 0.005248308
87.36132 ## 104.048065 ## 0.008082986
88.23265 ## 104.80935 ## 0.008554757
89.19641 ## 105.9481 ## 0.0141662955
90.24966 ## 107.22407 ## 0.025090218
91.787796 ## 108.63241 ## 0.024580121
92.13577 ## 110.16805 ## 0.027327001
93.941475 ## 112.25863 ## 0.029830873
96.74709 ## 114.061386 ## 0.032640398
98.79271 ## 116.46888 ## 0.03503543
100.95544 ## 119.03781 ## 0.05077541
102.41582 ## 121.75796 ## 0.052754343
104.80935 ## 124.61942 ## 0.05457461
106.52699 ## 127.61269 ## 0.056239307
109.786156 ## 131.3659 ## 0.056963503
113.86395 ## 135.28119 ## 0.05744672
117.388245 ## 140.0357 ## 0.07425648
120.34118 ## 142.83557 ## 0.0648191
119.67038 ## 140.0357 ## 0.011045814
115.74541 ## 135.28119 ## 0.036338925
112.61439 ## 131.3659 ## 0.054911017
109.62208 ## 127.61269 ## 0.048940897
107.33592 ## 124.61942 ## 0.043877125
103.24728 ## 121.75796 ## 0.031019568
101.21265 ## 119.03781 ## 0.025535226
99.29753 ## 116.46888 ## 0.02559042
97.50897 ## 114.061386 ## 0.025348783
96.25487 ## 112.25863 ## 0.030032396
94.7048 ## 110.16805 ## 0.020153642
93.637596 ## 108.63241 ## 0.015704155
92.34717 ## 107.22407 ## 0.015722036
90.24966 ## 105.9481 ## 0.001000762
89.498604 ## 104.80935 ## 0.003264606
88.84256 ## 104.048065 ## 0.006205201
88.28363 ## 103.16007 ## 0.006893277
87.823685 ## 102.4207 ## 0.007916331
87.46428 ## 101.96568 ## 0.010568082
87.14356 ## 101.49384 ## 0.011899531
87.05171 ## 101.24229 ## 0.014185727
86.00581 ## 101.04455 ## 0.015782595
86.09297 ## 101.04455 ## 0.029733956
86.28442 ## 101.24229 ## 0.032681286
86.579445 ## 101.49384 ## 0.022417724
86.977005 ## 101.96568 ## 0.02467382
87.47571 ## 102.4207 ## 0.025528133
88.07383 ## 103.16007 ## 0.039160073
88.52683 ## 104.048065 ## 0.041506946
88.60023 ## 104.80935 ## 0.041502774
89.81091 ## 105.9481 ## 0.046587765
90.824005 ## 107.22407 ## 0.056713283
92.309265 ## 108.63241 ## 0.05892414
93.52005 ## 110.16805 ## 0.06116742
95.257545 ## 112.25863 ## 0.0670352
95.77056 ## 114.061386 ## 0.06515175
97.7548 ## 116.46888 ## 0.07128847
99.8599 ## 119.03781 ## 0.07292229
102.0784 ## 121.75796 ## 0.0792954
105.0 ## 124.61942 ## 0.0887053
108.07405 ## 127.61269 ## 0.08956969
109.877205 ## 131.3659 ## 0.08210409
113.216606 ## 135.28119 ## 0.08197528
117.37972 ## 140.0357 ## 0.09708148
118.82761 ## 142.83557 ## 0.0881654
117.456375 ## 140.0357 ## 0.05258012
113.454834 ## 135.28119 ## 0.01801157
110.25879 ## 131.3659 ## 0.074795604
106.400185 ## 127.61269 ## 0.10110152
103.4698 ## 124.61942 ## 0.09119046
101.24229 ## 121.75796 ## 0.08722687
99.12618 ## 119.03781 ## 0.088861465
98.005104 ## 116.46888 ## 0.07062793
95.257545 ## 114.061386 ## 0.07147753
93.52005 ## 112.25863 ## 0.06778562
92.309265 ## 110.16805 ## 0.068047166
89.88882 ## 108.63241 ## 0.06424916
88.54378 ## 107.22407 ## 0.060565352
87.64131 ## 105.9481 ## 0.0609622
86.833176 ## 104.80935 ## 0.057257414
86.12201 ## 104.048065 ## 0.05461979
85.51023 ## 103.16007 ## 0.051328897
85.0 ## 102.4207 ## 0.04833901
84.59315 ## 101.96568 ## 0.037066817
84.29116 ## 101.49384 ## 0.03407669
83.09633 ## 101.24229 ## 0.032116532
83.00603 ## 101.04455 ## 0.03076899
84.095184 ## 101.04455 ## 0.039789915
84.29116 ## 101.24229 ## 0.026112199
84.59315 ## 101.49384 ## 0.025349617
84.0119 ## 101.96568 ## 0.02355218
84.5281 ## 102.4207 ## 0.021606207
85.146935 ## 103.16007 ## 0.019108653
85.61542 ## 104.048065 ## 0.0074162483
85.72631 ## 104.80935 ## 0.00748384
86.64872 ## 105.9481 ## 0.0050190687
87.66413 ## 107.22407 ## 0.0056591034
88.76936 ## 108.63241 ## 0.0030833483
90.37699 ## 110.16805 ## 0.0042907
91.67879 ## 112.25863 ## 0.0022152662
93.53609 ## 114.061386 ## 7.047057E-4
95.015785 ## 116.46888 ## 0.012384117
96.25487 ## 119.03781 ## 0.018967211
98.47334 ## 121.75796 ## 0.021116436
102.20078 ## 124.61942 ## 0.017930329
105.26158 ## 127.61269 ## 0.019807875
107.16809 ## 131.3659 ## 0.020873427
110.39022 ## 135.28119 ## 0.021806479
112.44999 ## 140.0357 ## 0.027439296
116.72617 ## 142.83557 ## 0.024153411
119.67038 ## 140.0357 ## 0.01875937
119.096596 ## 135.28119 ## 0.06099987
115.25623 ## 131.3659 ## 0.06211233
112.200714 ## 127.61269 ## 0.049999714
109.859 ## 124.61942 ## 0.039618015
105.68822 ## 121.75796 ## 0.048717737
103.58572 ## 119.03781 ## 0.050098658
101.597244 ## 116.46888 ## 0.04590106
99.72964 ## 114.061386 ## 0.03794992
97.98979 ## 112.25863 ## 0.034312963
96.38464 ## 110.16805 ## 0.03461039
95.27329 ## 108.63241 ## 0.021147847
93.92018 ## 107.22407 ## 0.017568111
93.00538 ## 105.9481 ## 0.018014431
91.92388 ## 104.80935 ## 0.01469028
91.00549 ## 104.048065 ## 0.012445211
89.62701 ## 103.16007 ## 0.012476921
